name	date	lin
6027	2022-01-24	BA.1.14
6050	2022-01-28	BA.1.14
6050	2022-01-27	BA.1
6051	2022-01-25	BA.1
6061	2022-01-25	BA.1.15
6064	2022-01-25	BA.1.14
6064	2022-01-25	BA.1
6064	2022-01-25	BA.1
6067	2022-01-26	BA.1.15
6079	2022-01-26	BA.1
6085	2022-01-27	BA.1.14
6085	2022-01-27	BA.1.14
6091	2022-01-26	BA.1.14
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6091	2022-01-26	BA.1
6093	2022-01-27	BA.1.20
6094	2022-01-27	BA.1.14
6094	2022-01-27	BA.1.1
6094	2022-01-27	BA.1
6094	2022-01-27	BA.1.1
6094	2022-01-27	BA.1.14
6094	2022-01-27	BA.1.1
6097	2022-01-28	BA.1.14
6097	2022-01-28	BA.1.1
6098	2022-01-27	BA.1.1
6098	2022-01-27	BA.1.14
6098	2022-01-27	BA.1.14
6098	2022-01-27	BA.1
6098	2022-01-27	BA.1
6098	2022-01-27	BA.1
6098	2022-01-27	BA.1.14
6098	2022-01-27	BA.1
6104	2022-01-28	BA.1
6104	2022-01-28	BA.1.14
6111	2022-01-25	BA.1.5
6111	2022-01-31	BA.1.15
6117	2022-01-28	BA.1
6122	2022-01-27	BA.1.1
6124	2022-01-28	BA.1.1
6125	2022-02-02	BA.1.14
6125	2022-02-02	BA.1
6125	2022-01-31	BA.1.1
6131	2022-01-30	BA.1.14
6131	2022-01-30	BA.1.1
6131	2022-01-31	BA.1.1
6131	2022-01-31	BA.1.14
6131	2022-01-31	BA.1.1
6140	2022-01-30	BA.1.14
6140	2022-02-01	BA.1.14
6140	2022-02-01	BA.1
6140	2022-02-01	BA.1.1
6142	2022-01-29	BA.1.14
6142	2022-01-29	BA.1
6142	2022-01-29	BA.1.14
6142	2022-01-29	BA.1.1
6142	2022-01-29	BA.1
6142	2022-01-29	BA.1.14
6142	2022-01-29	BA.1.14
6142	2022-01-29	BA.1.14
6142	2022-01-29	BA.1
6142	2022-01-29	BA.1
6142	2022-01-29	BA.1.14
6144	2022-01-29	BA.1.1
6144	2022-01-29	BA.1.14
