"estado";"coduf";"faixaEtaria";"grupoFaixaEtaria";"month";"total"
"MS";50;"0 a 4 anos";1;2020-05-01;1
"MS";50;"0 a 4 anos";1;2020-06-01;2
"MS";50;"0 a 4 anos";1;2020-07-01;4
"MS";50;"0 a 4 anos";1;2020-08-01;5
"MS";50;"0 a 4 anos";1;2020-09-01;9
"MS";50;"0 a 4 anos";1;2020-10-01;7
"MS";50;"0 a 4 anos";1;2020-11-01;18
"MS";50;"0 a 4 anos";1;2020-12-01;13
"MS";50;"0 a 4 anos";1;2021-01-01;6
"MS";50;"0 a 4 anos";1;2021-02-01;7
"MS";50;"0 a 4 anos";1;2021-03-01;12
"MS";50;"0 a 4 anos";1;2021-04-01;14
"MS";50;"0 a 4 anos";1;2021-05-01;20
"MS";50;"0 a 4 anos";1;2021-06-01;17
"MS";50;"0 a 4 anos";1;2021-07-01;14
"MS";50;"0 a 4 anos";1;2021-08-01;8
"MS";50;"0 a 4 anos";1;2021-09-01;7
"MS";50;"0 a 4 anos";1;2021-10-01;4
"MS";50;"0 a 4 anos";1;2021-11-01;6
"MS";50;"0 a 4 anos";1;2021-12-01;9
"MS";50;"0 a 4 anos";1;2022-01-01;67
"MS";50;"0 a 4 anos";1;2022-02-01;40
"MS";50;"0 a 4 anos";1;2022-03-01;10
"MS";50;"0 a 4 anos";1;2022-04-01;5
"MS";50;"0 a 4 anos";1;2022-05-01;10
"MS";50;"0 a 4 anos";1;2022-06-01;18
"MS";50;"0 a 4 anos";1;2022-07-01;42
"MS";50;"0 a 4 anos";1;2022-08-01;14
"MS";50;"0 a 4 anos";1;2022-09-01;1
"MS";50;"0 a 4 anos";1;2022-11-01;7
"MS";50;"0 a 4 anos";1;2022-12-01;20
"MS";50;"0 a 4 anos";1;2023-01-01;14
"MS";50;"0 a 4 anos";1;2023-02-01;3
"MS";50;"0 a 4 anos";1;2023-03-01;14
"MS";50;"0 a 4 anos";1;2023-04-01;9
"MS";50;"0 a 4 anos";1;2023-05-01;3
"MS";50;"10 a 19 anos";3;2020-04-01;1
"MS";50;"10 a 19 anos";3;2020-05-01;1
"MS";50;"10 a 19 anos";3;2020-06-01;4
"MS";50;"10 a 19 anos";3;2020-07-01;8
"MS";50;"10 a 19 anos";3;2020-08-01;6
"MS";50;"10 a 19 anos";3;2020-09-01;8
"MS";50;"10 a 19 anos";3;2020-10-01;8
"MS";50;"10 a 19 anos";3;2020-11-01;8
"MS";50;"10 a 19 anos";3;2020-12-01;11
"MS";50;"10 a 19 anos";3;2021-01-01;13
"MS";50;"10 a 19 anos";3;2021-02-01;12
"MS";50;"10 a 19 anos";3;2021-03-01;16
"MS";50;"10 a 19 anos";3;2021-04-01;21
"MS";50;"10 a 19 anos";3;2021-05-01;27
"MS";50;"10 a 19 anos";3;2021-06-01;21
"MS";50;"10 a 19 anos";3;2021-07-01;11
"MS";50;"10 a 19 anos";3;2021-08-01;9
"MS";50;"10 a 19 anos";3;2021-09-01;5
"MS";50;"10 a 19 anos";3;2021-10-01;2
"MS";50;"10 a 19 anos";3;2021-11-01;2
"MS";50;"10 a 19 anos";3;2021-12-01;3
"MS";50;"10 a 19 anos";3;2022-01-01;44
"MS";50;"10 a 19 anos";3;2022-02-01;24
"MS";50;"10 a 19 anos";3;2022-03-01;1
"MS";50;"10 a 19 anos";3;2022-05-01;6
"MS";50;"10 a 19 anos";3;2022-06-01;9
"MS";50;"10 a 19 anos";3;2022-07-01;9
"MS";50;"10 a 19 anos";3;2022-08-01;9
"MS";50;"10 a 19 anos";3;2022-11-01;3
"MS";50;"10 a 19 anos";3;2022-12-01;12
"MS";50;"10 a 19 anos";3;2023-01-01;2
"MS";50;"10 a 19 anos";3;2023-03-01;4
"MS";50;"10 a 19 anos";3;2023-04-01;4
"MS";50;"10 a 19 anos";3;2023-05-01;2
"MS";50;"20 a 59 anos";4;2020-03-01;37
"MS";50;"20 a 59 anos";4;2020-04-01;34
"MS";50;"20 a 59 anos";4;2020-05-01;155
"MS";50;"20 a 59 anos";4;2020-06-01;478
"MS";50;"20 a 59 anos";4;2020-07-01;878
"MS";50;"20 a 59 anos";4;2020-08-01;833
"MS";50;"20 a 59 anos";4;2020-09-01;648
"MS";50;"20 a 59 anos";4;2020-10-01;367
"MS";50;"20 a 59 anos";4;2020-11-01;968
"MS";50;"20 a 59 anos";4;2020-12-01;1050
"MS";50;"20 a 59 anos";4;2021-01-01;775
"MS";50;"20 a 59 anos";4;2021-02-01;1145
"MS";50;"20 a 59 anos";4;2021-03-01;2387
"MS";50;"20 a 59 anos";4;2021-04-01;2005
"MS";50;"20 a 59 anos";4;2021-05-01;3504
"MS";50;"20 a 59 anos";4;2021-06-01;1917
"MS";50;"20 a 59 anos";4;2021-07-01;948
"MS";50;"20 a 59 anos";4;2021-08-01;303
"MS";50;"20 a 59 anos";4;2021-09-01;87
"MS";50;"20 a 59 anos";4;2021-10-01;70
"MS";50;"20 a 59 anos";4;2021-11-01;79
"MS";50;"20 a 59 anos";4;2021-12-01;75
"MS";50;"20 a 59 anos";4;2022-01-01;454
"MS";50;"20 a 59 anos";4;2022-02-01;200
"MS";50;"20 a 59 anos";4;2022-03-01;23
"MS";50;"20 a 59 anos";4;2022-04-01;11
"MS";50;"20 a 59 anos";4;2022-05-01;37
"MS";50;"20 a 59 anos";4;2022-06-01;70
"MS";50;"20 a 59 anos";4;2022-07-01;67
"MS";50;"20 a 59 anos";4;2022-08-01;47
"MS";50;"20 a 59 anos";4;2022-09-01;11
"MS";50;"20 a 59 anos";4;2022-10-01;2
"MS";50;"20 a 59 anos";4;2022-11-01;34
"MS";50;"20 a 59 anos";4;2022-12-01;108
"MS";50;"20 a 59 anos";4;2023-01-01;33
"MS";50;"20 a 59 anos";4;2023-02-01;16
"MS";50;"20 a 59 anos";4;2023-03-01;16
"MS";50;"20 a 59 anos";4;2023-04-01;13
"MS";50;"20 a 59 anos";4;2023-05-01;8
"MS";50;"5 a 9 anos";2;2020-04-01;1
"MS";50;"5 a 9 anos";2;2020-05-01;1
"MS";50;"5 a 9 anos";2;2020-06-01;2
"MS";50;"5 a 9 anos";2;2020-07-01;5
"MS";50;"5 a 9 anos";2;2020-08-01;7
"MS";50;"5 a 9 anos";2;2020-09-01;3
"MS";50;"5 a 9 anos";2;2020-10-01;4
"MS";50;"5 a 9 anos";2;2020-11-01;3
"MS";50;"5 a 9 anos";2;2020-12-01;3
"MS";50;"5 a 9 anos";2;2021-01-01;5
"MS";50;"5 a 9 anos";2;2021-02-01;4
"MS";50;"5 a 9 anos";2;2021-03-01;5
"MS";50;"5 a 9 anos";2;2021-04-01;6
"MS";50;"5 a 9 anos";2;2021-05-01;8
"MS";50;"5 a 9 anos";2;2021-06-01;5
"MS";50;"5 a 9 anos";2;2021-07-01;5
"MS";50;"5 a 9 anos";2;2021-08-01;3
"MS";50;"5 a 9 anos";2;2021-09-01;3
"MS";50;"5 a 9 anos";2;2021-10-01;1
"MS";50;"5 a 9 anos";2;2021-11-01;2
"MS";50;"5 a 9 anos";2;2021-12-01;4
"MS";50;"5 a 9 anos";2;2022-01-01;34
"MS";50;"5 a 9 anos";2;2022-02-01;24
"MS";50;"5 a 9 anos";2;2022-03-01;4
"MS";50;"5 a 9 anos";2;2022-04-01;6
"MS";50;"5 a 9 anos";2;2022-05-01;5
"MS";50;"5 a 9 anos";2;2022-06-01;8
"MS";50;"5 a 9 anos";2;2022-07-01;19
"MS";50;"5 a 9 anos";2;2022-08-01;9
"MS";50;"5 a 9 anos";2;2022-09-01;1
"MS";50;"5 a 9 anos";2;2022-11-01;1
"MS";50;"5 a 9 anos";2;2022-12-01;13
"MS";50;"5 a 9 anos";2;2023-01-01;9
"MS";50;"5 a 9 anos";2;2023-02-01;5
"MS";50;"5 a 9 anos";2;2023-03-01;6
"MS";50;"5 a 9 anos";2;2023-04-01;2
"MS";50;"5 a 9 anos";2;2023-05-01;5
"MS";50;"60 a 69 anos";5;2020-03-01;4
"MS";50;"60 a 69 anos";5;2020-04-01;7
"MS";50;"60 a 69 anos";5;2020-05-01;24
"MS";50;"60 a 69 anos";5;2020-06-01;149
"MS";50;"60 a 69 anos";5;2020-07-01;365
"MS";50;"60 a 69 anos";5;2020-08-01;396
"MS";50;"60 a 69 anos";5;2020-09-01;309
"MS";50;"60 a 69 anos";5;2020-10-01;182
"MS";50;"60 a 69 anos";5;2020-11-01;356
"MS";50;"60 a 69 anos";5;2020-12-01;490
"MS";50;"60 a 69 anos";5;2021-01-01;368
"MS";50;"60 a 69 anos";5;2021-02-01;428
"MS";50;"60 a 69 anos";5;2021-03-01;867
"MS";50;"60 a 69 anos";5;2021-04-01;616
"MS";50;"60 a 69 anos";5;2021-05-01;686
"MS";50;"60 a 69 anos";5;2021-06-01;330
"MS";50;"60 a 69 anos";5;2021-07-01;257
"MS";50;"60 a 69 anos";5;2021-08-01;141
"MS";50;"60 a 69 anos";5;2021-09-01;48
"MS";50;"60 a 69 anos";5;2021-10-01;21
"MS";50;"60 a 69 anos";5;2021-11-01;23
"MS";50;"60 a 69 anos";5;2021-12-01;29
"MS";50;"60 a 69 anos";5;2022-01-01;239
"MS";50;"60 a 69 anos";5;2022-02-01;143
"MS";50;"60 a 69 anos";5;2022-03-01;17
"MS";50;"60 a 69 anos";5;2022-04-01;11
"MS";50;"60 a 69 anos";5;2022-05-01;17
"MS";50;"60 a 69 anos";5;2022-06-01;48
"MS";50;"60 a 69 anos";5;2022-07-01;47
"MS";50;"60 a 69 anos";5;2022-08-01;23
"MS";50;"60 a 69 anos";5;2022-09-01;8
"MS";50;"60 a 69 anos";5;2022-10-01;1
"MS";50;"60 a 69 anos";5;2022-11-01;25
"MS";50;"60 a 69 anos";5;2022-12-01;61
"MS";50;"60 a 69 anos";5;2023-01-01;18
"MS";50;"60 a 69 anos";5;2023-02-01;6
"MS";50;"60 a 69 anos";5;2023-03-01;8
"MS";50;"60 a 69 anos";5;2023-04-01;9
"MS";50;"60 a 69 anos";5;2023-05-01;6
"MS";50;"70+ anos";6;2020-02-01;1
"MS";50;"70+ anos";6;2020-03-01;4
"MS";50;"70+ anos";6;2020-04-01;14
"MS";50;"70+ anos";6;2020-05-01;26
"MS";50;"70+ anos";6;2020-06-01;182
"MS";50;"70+ anos";6;2020-07-01;445
"MS";50;"70+ anos";6;2020-08-01;520
"MS";50;"70+ anos";6;2020-09-01;389
"MS";50;"70+ anos";6;2020-10-01;193
"MS";50;"70+ anos";6;2020-11-01;421
"MS";50;"70+ anos";6;2020-12-01;665
"MS";50;"70+ anos";6;2021-01-01;473
"MS";50;"70+ anos";6;2021-02-01;529
"MS";50;"70+ anos";6;2021-03-01;859
"MS";50;"70+ anos";6;2021-04-01;505
"MS";50;"70+ anos";6;2021-05-01;653
"MS";50;"70+ anos";6;2021-06-01;538
"MS";50;"70+ anos";6;2021-07-01;472
"MS";50;"70+ anos";6;2021-08-01;250
"MS";50;"70+ anos";6;2021-09-01;78
"MS";50;"70+ anos";6;2021-10-01;23
"MS";50;"70+ anos";6;2021-11-01;25
"MS";50;"70+ anos";6;2021-12-01;45
"MS";50;"70+ anos";6;2022-01-01;612
"MS";50;"70+ anos";6;2022-02-01;467
"MS";50;"70+ anos";6;2022-03-01;44
"MS";50;"70+ anos";6;2022-04-01;20
"MS";50;"70+ anos";6;2022-05-01;59
"MS";50;"70+ anos";6;2022-06-01;132
"MS";50;"70+ anos";6;2022-07-01;173
"MS";50;"70+ anos";6;2022-08-01;75
"MS";50;"70+ anos";6;2022-09-01;20
"MS";50;"70+ anos";6;2022-10-01;4
"MS";50;"70+ anos";6;2022-11-01;64
"MS";50;"70+ anos";6;2022-12-01;191
"MS";50;"70+ anos";6;2023-01-01;64
"MS";50;"70+ anos";6;2023-02-01;27
"MS";50;"70+ anos";6;2023-03-01;27
"MS";50;"70+ anos";6;2023-04-01;23
"MS";50;"70+ anos";6;2023-05-01;23
