taxon	date	lineage	rename	country	conflict	ambiguity_score	scorpio_call	scorpio_support	scorpio_conflict	scorpio_notes	version	pangolin_version	scorpio_version	constellation_version	is_designated	qc_status	qc_notes	note
hCoV-19|Colombia|VAC-LDAB-31232194|2022|EPI_ISL_14425647|2022-06-08	2022-06-08	BA.4.1	Omicron-BA.4	Other	0		Omicron (BA.4-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.4.1(1/1)
hCoV-19|Azerbaijan|Aghayev-12|2021|EPI_ISL_2161167|2021-03-01	2021-03-01	B.1.1.10	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.10(1/1)
hCoV-19|Slovakia|UVZ_PL28_E9_14441|2021|EPI_ISL_3117951|2021-06-10	2021-06-10	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,83	0,04	scorpio call: Alt alleles 19; Ref alleles 1; Amb alleles 3; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.7(1/1)
hCoV-19|Slovakia|CeMM4307|2021|EPI_ISL_1495219|2021-01-07	2021-01-07	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,96	0,04	scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.7(2/2)
hCoV-19|USA|TX-DSHS-2596|2021|EPI_ISL_983621|2021-01-11	2021-01-11	B.1.2	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.04	Assigned from designation hash.
hCoV-19|Paraguay|PY1|2020|EPI_ISL_1492637|2020-12-05	2020-12-05	B.1.1.28	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.05	Usher placements: B.1.1.28(1/1)
hCoV-19|Mozambique|CERI-KRISP-K030798|2021|EPI_ISL_6795171|2021-10-07	2021-10-07	AY.45	Delta	Other	0		Delta (B.1.617.2-like)	0,85	0,08	scorpio call: Alt alleles 11; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: AY.45(1/1)
hCoV-19|Zambia|ZMB-41144|2020|EPI_ISL_2803477|2020-08-02	2020-08-02	AE.5	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.04	Usher placements: AE.5(1/1)
hCoV-19|Mexico|QUE-InDRE_F11344_S1045|2021|EPI_ISL_1504090|2021-03-03	2021-03-03	B.1.1.519	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.519(1/1)
hCoV-19|Bermuda|51481|2020|EPI_ISL_2478972|2020-12-14	2020-12-14	B.1.2	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.09	Usher placements: B.1.2(1/1)
